"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FARGB16BigConvertPS","Global","SF_Pixel","1","3632"
"FAYUVConvertPS","Global","SF_Pixel","1","2821"
"FAccumulateBufferToTextureCS","Global","SF_Compute","2","4946"
"FAccumulateCubeFacesPS","Global","SF_Pixel","1","2458"
"FAccumulateDiffuseIrradiancePS","Global","SF_Pixel","1","3348"
"FAdjustFeatureRangeCS","Global","SF_Compute","3","7397"
"FAllocBlocksCS","Global","SF_Compute","1","2982"
"FAllocateBottomLevelGrid","Global","SF_Compute","2","5406"
"FAllocateCommandInstanceOutputSpaceCs","Global","SF_Compute","1","2379"
"FAllocateNewPageMappingsCS","Global","SF_Compute","2","11960"
"FAllocatePagesCS","Global","SF_Compute","12","71015"
"FAllocateProbeTracesCS","Global","SF_Compute","1","4240"
"FAllocateRangesCS","Global","SF_Compute","1","3141"
"FAllocateSparseVoxels","Global","SF_Compute","1","2504"
"FAllocateSparseVoxelsToRefine","Global","SF_Compute","1","3097"
"FAllocateUsedProbesCS","Global","SF_Compute","2","8081"
"FAlphaInvertPS","Global","SF_Pixel","1","2173"
"FAmbientCubemapCompositePS","Global","SF_Pixel","1","6389"
"FAmbientOcclusionCS","Global","SF_Compute","14","105130"
"FAmbientOcclusionPS","Global","SF_Pixel","18","133263"
"FAmbientOcclusionSetupPS","Global","SF_Pixel","1","3945"
"FAmbientOcclusionSmoothCS","Global","SF_Compute","1","2530"
"FAnimBankEvaluateCS","Global","SF_Compute","1","3544"
"FAnimBankScatterCS","Global","SF_Compute","1","2734"
"FAppendPhysicalPageListsCS","Global","SF_Compute","1","2355"
"FApplyLightShaftsPixelShader","Global","SF_Pixel","1","2437"
"FApplyLocalExposureCS","Global","SF_Compute","1","3936"
"FApplyLowerHemisphereColorPS","Global","SF_Pixel","1","2905"
"FAutoExposureDownsampleCS","Global","SF_Compute","1","2723"
"FAutoExposureReduceCS","Global","SF_Compute","1","2754"
"FAutoExposureReduceFinalCS","Global","SF_Compute","1","2689"
"FBMPConvertPS","Global","SF_Pixel","1","2777"
"FBasicEyeAdaptationCS","Global","SF_Compute","2","9071"
"FBasicEyeAdaptationSetupPS","Global","SF_Pixel","1","2841"
"FBasicIntersectionMainCHS","Global","SF_RayHitGroup","1","1841"
"FBasicIntersectionMainRGS","Global","SF_RayGen","1","2626"
"FBasicOcclusionMainRGS","Global","SF_RayGen","1","2534"
"FBilateralFilterCS","Global","SF_Compute","1","5689"
"FBinBricksInTilesCS","Global","SF_Compute","1","5192"
"FBinkDrawICtCpPS","Global","SF_Pixel","8","26587"
"FBinkDrawVS","Global","SF_Vertex","1","2203"
"FBinkDrawYCbCrPS","Global","SF_Pixel","4","11004"
"FBlendDistortionDisplacementMapCS","Global","SF_Compute","4","10805"
"FBloomClampKernelCS","Global","SF_Compute","1","2563"
"FBloomDownsampleKernelCS","Global","SF_Compute","1","2464"
"FBloomFinalizeApplyConstantsCS","Global","SF_Compute","1","2399"
"FBloomFindKernelCenterCS","Global","SF_Compute","1","3262"
"FBloomPackKernelConstantsCS","Global","SF_Compute","1","2560"
"FBloomReduceKernelSurveyCS","Global","SF_Compute","1","3690"
"FBloomResizeKernelCS","Global","SF_Compute","1","3403"
"FBloomSetupCS","Global","SF_Compute","4","13960"
"FBloomSetupPS","Global","SF_Pixel","4","13908"
"FBloomSumScatterDispersionEnergyCS","Global","SF_Compute","1","3212"
"FBloomSurveyKernelCenterEnergyCS","Global","SF_Compute","1","3729"
"FBloomSurveyMaxScatterDispersionCS","Global","SF_Compute","1","3201"
"FBlurLightShaftsPixelShader","Global","SF_Pixel","1","3642"
"FBufferTextureMappedCopyCS","Global","SF_Compute","5","11565"
"FBuildCardsUpdateListCS","Global","SF_Compute","2","11605"
"FBuildFeedbackHashTableCS","Global","SF_Compute","2","5343"
"FBuildFeedbackHashTableIndirectArgsCS","Global","SF_Compute","1","2188"
"FBuildGridTilesCS","Global","SF_Compute","1","4167"
"FBuildHeightfieldComposeTilesCS","Global","SF_Compute","1","2306"
"FBuildHeightfieldComposeTilesIndirectArgBufferCS","Global","SF_Compute","1","2051"
"FBuildIndirectDispatchArgsBufferCS","Global","SF_Compute","1","2232"
"FBuildInstanceIdBufferAndCommandsFromPrimitiveIdsCs","Global","SF_Compute","64","606515"
"FBuildLandscapeTileDataCS","Global","SF_Compute","1","4642"
"FBuildLightTilesCS","Global","SF_Compute","6","58648"
"FBuildMajorantVoxelGridCS","Global","SF_Compute","2","5586"
"FBuildPageUpdatePriorityHistogramCS","Global","SF_Compute","2","9727"
"FBuildPhysicsFieldClipmapCS","Global","SF_Compute","1","13994"
"FBuildRadiosityTilesCS","Global","SF_Compute","1","3213"
"FBuildShadingEnergyConservationTableCS","Global","SF_Compute","4","14304"
"FBuildTileArraysCS","Global","SF_Compute","1","3344"
"FBuildTileConesCS","Global","SF_Compute","1","4011"
"FBuildVisualizeProbesCS","Global","SF_Compute","1","5539"
"FCalculateCardTileDepthRangesCS","Global","SF_Compute","1","3344"
"FCalculateClusterIndirectArgsCS","Global","SF_Compute","2","4654"
"FCalculateClusterStatsCS","Global","SF_Compute","4","13049"
"FCalculateCompactBlockInstanceOffsetsCs","Global","SF_Compute","1","3153"
"FCalculateExposureIlluminanceCS","Global","SF_Compute","1","7117"
"FCalculateProbeIrradianceCS","Global","SF_Compute","1","4048"
"FCalculateRasterStatsCS","Global","SF_Compute","2","6085"
"FCalculateSafeRasterizerArgs_CS","Global","SF_Compute","2","6059"
"FCalculateShadingRateImageCS","Global","SF_Compute","6","19810"
"FCalculateShadingStatsCS","Global","SF_Compute","1","2647"
"FCalibratedMapDerivedDataCS","Global","SF_Compute","17","50641"
"FCapsuleShadowingCS","Global","SF_Compute","15","198644"
"FCapsuleShadowingUpsamplePS","Global","SF_Pixel","4","14416"
"FCapsuleShadowingUpsampleVS","Global","SF_Vertex","1","2910"
"FClassifyPreAlbedoDivideMaskIdCS","Global","SF_Compute","1","2274"
"FClearAABBCS","Global","SF_Compute","1","1794"
"FClearAllocator","Global","SF_Compute","1","1555"
"FClearCardUpdateContextCS","Global","SF_Compute","1","1960"
"FClearCompressedAtlasCS","Global","SF_Compute","4","15073"
"FClearIndirectArgBufferCS","Global","SF_Compute","1","2120"
"FClearIndirectArgInstanceCountCs","Global","SF_Compute","1","1922"
"FClearIndirectDispatchArgsCS","Global","SF_Compute","1","2102"
"FClearLightSamplesCS","Global","SF_Compute","1","2574"
"FClearLumenCardCapturePS","Global","SF_Pixel","1","1494"
"FClearLumenCardsPS","Global","SF_Pixel","2","2832"
"FClearMessageBufferCS","Global","SF_Compute","1","1539"
"FClearPageTableCS","Global","SF_Compute","3","14914"
"FClearPressureGridCS","Global","SF_Compute","1","2896"
"FClearProbeFreeList","Global","SF_Compute","1","2272"
"FClearProbeIndirectionCS","Global","SF_Compute","1","1584"
"FClearProbePDFs","Global","SF_Compute","1","1763"
"FClearRadianceCacheUpdateResourcesCS","Global","SF_Compute","1","2183"
"FClearReplacementCS_Buffer_Float4_Bounds","Global","SF_Compute","1","1969"
"FClearReplacementCS_Buffer_Float_Bounds","Global","SF_Compute","1","1935"
"FClearReplacementCS_Buffer_Sint4_Bounds","Global","SF_Compute","1","1882"
"FClearReplacementCS_Buffer_Uint","Global","SF_Compute","1","1699"
"FClearReplacementCS_Buffer_Uint4","Global","SF_Compute","1","1737"
"FClearReplacementCS_Buffer_Uint4_Bounds","Global","SF_Compute","1","1897"
"FClearReplacementCS_Buffer_Uint_Bounds","Global","SF_Compute","1","1866"
"FClearReplacementCS_Buffer_Uint_Zero","Global","SF_Compute","1","1526"
"FClearReplacementCS_LargeBuffer_Float4_Bounds","Global","SF_Compute","1","1970"
"FClearReplacementCS_LargeBuffer_Float_Bounds","Global","SF_Compute","1","1936"
"FClearReplacementCS_LargeBuffer_Sint4_Bounds","Global","SF_Compute","1","1892"
"FClearReplacementCS_LargeBuffer_Uint","Global","SF_Compute","1","1700"
"FClearReplacementCS_LargeBuffer_Uint4","Global","SF_Compute","1","1738"
"FClearReplacementCS_LargeBuffer_Uint4_Bounds","Global","SF_Compute","1","1907"
"FClearReplacementCS_LargeBuffer_Uint_Bounds","Global","SF_Compute","1","1875"
"FClearReplacementCS_StructuredBuffer_Float4_Bounds","Global","SF_Compute","1","1998"
"FClearReplacementCS_StructuredBuffer_Float_Bounds","Global","SF_Compute","1","1957"
"FClearReplacementCS_StructuredBuffer_Sint4_Bounds","Global","SF_Compute","1","1922"
"FClearReplacementCS_StructuredBuffer_Uint","Global","SF_Compute","1","1729"
"FClearReplacementCS_StructuredBuffer_Uint4","Global","SF_Compute","1","1758"
"FClearReplacementCS_StructuredBuffer_Uint4_Bounds","Global","SF_Compute","1","1937"
"FClearReplacementCS_StructuredBuffer_Uint_Bounds","Global","SF_Compute","1","1896"
"FClearReplacementCS_StructuredBuffer_Uint_Zero","Global","SF_Compute","1","1554"
"FClearReplacementCS_Texture2DArray_Float4","Global","SF_Compute","1","1762"
"FClearReplacementCS_Texture2DArray_Float4_Bounds","Global","SF_Compute","1","1933"
"FClearReplacementCS_Texture2DArray_Sint4_Bounds","Global","SF_Compute","1","1861"
"FClearReplacementCS_Texture2DArray_Uint","Global","SF_Compute","1","1732"
"FClearReplacementCS_Texture2DArray_Uint4","Global","SF_Compute","1","1760"
"FClearReplacementCS_Texture2DArray_Uint4_Bounds","Global","SF_Compute","1","1873"
"FClearReplacementCS_Texture2DArray_Uint_Zero","Global","SF_Compute","1","1550"
"FClearReplacementCS_Texture2D_Float4","Global","SF_Compute","1","1743"
"FClearReplacementCS_Texture2D_Float4_Bounds","Global","SF_Compute","1","1898"
"FClearReplacementCS_Texture2D_Sint4_Bounds","Global","SF_Compute","1","1826"
"FClearReplacementCS_Texture2D_Uint4","Global","SF_Compute","1","1748"
"FClearReplacementCS_Texture2D_Uint4_Bounds","Global","SF_Compute","1","1837"
"FClearReplacementCS_Texture3D_Float4","Global","SF_Compute","1","1745"
"FClearReplacementCS_Texture3D_Float4_Bounds","Global","SF_Compute","1","1925"
"FClearReplacementCS_Texture3D_Sint4_Bounds","Global","SF_Compute","1","1849"
"FClearReplacementCS_Texture3D_Uint4","Global","SF_Compute","1","1747"
"FClearReplacementCS_Texture3D_Uint4_Bounds","Global","SF_Compute","1","1860"
"FClearReplacementPS","Global","SF_Pixel","1","1700"
"FClearReplacementPS_128","Global","SF_Pixel","1","1700"
